INSTNM,CITY,STABBR,HIGHDEG,CONTROL,HSI,ADM_RATE,SAT_AVG,UGDS,UGDS_HISP,FIRSTGEN_RPY_1YR_RT,PELL_EVER,FIRST_GEN,ICLEVEL,FTFTPCTPELL
Stonehill College,Easton,MA,3,2,0,0.6957,NULL,2527,0.0491,0.812154696,0.254254254,0.163900415,1,0.1394
Suffolk University,Boston,MA,4,2,0,0.8533,1131,5012,0.1259,0.611796982,0.490917559,0.296502788,1,0.3031
Rob Roy Academy-Taunton,Taunton,MA,1,3,0,NULL,NULL,24,0.1667,0.25,PrivacySuppressed,0.5,3,0.6667
Tufts University,Medford,MA,4,2,0,0.1462,1461,5597,0.0693,0.855555556,0.384615385,0.152954809,1,0.1128
Wellesley College,Wellesley,MA,3,2,0,0.1954,1435,2392,0.1325,PrivacySuppressed,0.5,0.171779141,1,0.2073
Wentworth Institute of Technology,Boston,MA,4,2,0,0.7604,1183,4254,0.0656,0.719465649,0.382195846,0.24718398,1,0.2681
Western New England University,Springfield,MA,4,2,0,0.8537,1160,2746,0.0914,0.633027523,0.375,0.245495496,1,0.3012
Westfield State University,Westfield,MA,4,1,0,0.8605,1086,5110,0.1006,0.605493134,0.47083926,0.305071622,1,0.3528
Wheaton College,Norton,MA,3,2,0,0.6984,1280,1750,0.0823,0.7,0.339089482,0.147107438,1,0.1713
Williams College,Williamstown,MA,4,2,0,0.1297,1490,2028,0.1312,0.72972973,0.561797753,0.215496368,1,0.2226
Worcester Polytechnic Institute,Worcester,MA,4,2,0,0.4159,NULL,4571,0.0925,0.859090909,0.236209335,0.13377193,1,0.1041
Worcester State University,Worcester,MA,4,1,0,0.7785,NULL,4996,0.1323,0.620418848,0.50463353,0.356449376,1,0.3576
Adrian College,Adrian,MI,4,2,0,0.6481,1072,1781,0.0539,0.518624642,0.475376884,0.31005291,1,0.3648
Albion College,Albion,MI,3,2,0,0.6824,1132,1512,0.1019,0.611940299,0.562146893,0.279761905,1,0.5126
Hillsdale Beauty College,Hillsdale,MI,1,3,0,NULL,NULL,22,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,0.8182
Northwestern Technological Institute,Southfield,MI,1,3,0,NULL,NULL,751,0.0053,0.253263708,0.859356377,0.631652661,3,0.7496
Alma College,Alma,MI,3,2,0,0.6411,1135,1396,0.0509,0.608938548,0.468208093,0.241071429,1,0.3358
Alpena Community College,Alpena,MI,3,1,0,NULL,NULL,960,0.0167,0.371764706,0.792828685,0.428364689,1,0.6275
Andrews University,Berrien Springs,MI,4,2,0,0.6554,1182,1466,0.1487,0.335483871,0.555125725,0.172131148,1,0.2555
Aquinas College,Grand Rapids,MI,4,2,0,0.6905,1133,1428,0.0714,0.492063492,0.525619835,0.219178082,1,0.3365
Baker College,Owosso,MI,4,2,0,0.5307,NULL,8319,0.0385,0.255406301,0.770027248,0.471415183,1,0.6022
Bay de Noc Community College,Escanaba,MI,2,1,0,NULL,NULL,1328,0.0233,0.354581673,0.814303639,0.438789546,2,0.3993
Bayshire Academy of Beauty Craft Inc,Bay City,MI,1,3,0,NULL,NULL,125,0.048,NULL,PrivacySuppressed,0.522222222,3,0.7391
Calvin University,Grand Rapids,MI,4,2,0,0.7897,1270,3550,0.0507,0.714285714,0.430590191,0.13225256,1,0.2097
Calvin Theological Seminary,Grand Rapids,MI,4,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
Carnegie Institute,Troy,MI,1,3,0,NULL,NULL,134,0.0149,0.569444444,0.694915254,0.538961039,2,0.9286
Michigan School of Psychology,Farmington Hills,MI,4,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
Central Michigan University,Mount Pleasant,MI,4,1,0,0.6884,1115,16157,0.0498,0.455868396,0.528324468,0.293298035,1,0.3599
Mott Community College,Flint,MI,2,1,0,NULL,NULL,6162,0.051,0.178845607,0.803099362,0.402874006,2,0.5768
Empire Beauty School-Michigan,Grand Rapids,MI,1,3,0,NULL,NULL,225,0.12,0.224371373,0.895427795,0.527961515,3,0.8391
Cleary University,Howell,MI,4,2,0,0.5797,1039,474,0.0063,0.393203884,0.51119403,0.422924901,1,0.4
Concordia University-Ann Arbor,Ann Arbor,MI,4,2,0,0.4885,1085,927,0.0076,0.391891892,0.499769691,0.318387909,1,0.3191
Cranbrook Academy of Art,Bloomfield Hills,MI,4,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
College for Creative Studies,Detroit,MI,4,2,0,0.4216,1097,1357,0.0575,0.473988439,0.5,0.228360958,1,0.2658
Davenport University,Grand Rapids,MI,4,2,0,0.8933,NULL,4782,0.0489,0.259710586,0.653035144,0.398606272,1,0.4449
David Pressley School of Cosmetology,Royal Oak,MI,1,3,0,NULL,NULL,218,0.0642,0.347593583,0.779220779,0.547528517,3,0.6463
Delta College,University Center,MI,2,1,0,NULL,NULL,7067,0.0804,0.3203125,0.863528167,0.415144372,2,0.5324
Detroit Business Institute-Downriver,Riverview,MI,1,3,0,NULL,NULL,52,0.0192,0.386363636,0.877777778,0.549295775,3,NULL
Michigan State University-College of Law,East Lansing,MI,4,2,0,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,1,NULL
MIAT College of Technology,Canton,MI,2,3,0,0.6892,NULL,845,0.1822,0.363148479,0.773737374,0.459783914,2,0.6205
University of Detroit Mercy,Detroit,MI,4,2,0,0.8298,1163,2754,0.0595,0.564102564,0.488297014,0.287119857,1,0.3321
Dorsey School of Business-Madison Heights,Madison Heights,MI,1,3,0,NULL,NULL,398,0.005,0.164209664,0.938366718,0.57437276,3,0.88
Dorsey School of Business-Woodhaven,Woodhaven,MI,1,3,0,NULL,NULL,104,0.1442,0.164209664,0.938366718,0.57437276,3,0.9655
Eastern Michigan University,Ypsilanti,MI,4,1,0,0.757,1025,15325,0.0512,0.324902724,0.652227051,0.344196429,1,0.4786
Creative Hair School of Cosmetology,Flint,MI,1,3,0,NULL,NULL,31,0,NULL,PrivacySuppressed,PrivacySuppressed,3,0.875
Ferris State University,Big Rapids,MI,4,1,0,0.809,1070,11008,0.0567,0.490647482,0.617973629,0.352963101,1,0.4662
Flint Institute of Barbering Inc,Flint,MI,1,3,0,0.7813,NULL,36,0,PrivacySuppressed,PrivacySuppressed,0.386363636,2,1
Glen Oaks Community College,Centreville,MI,2,1,0,NULL,NULL,633,0.1216,0.346704871,0.849015317,0.528678304,2,0.5033
Kettering University,Flint,MI,4,2,0,0.7027,1287,1861,0.0516,0.823529412,0.340490798,0.181818182,1,0.2183
Gogebic Community College,Ironwood,MI,2,1,0,NULL,NULL,717,0.0153,0.425233645,0.747731398,0.389863548,2,0.5876
Grace Christian University,Wyoming,MI,4,2,0,0.2837,NULL,895,0.0615,0.358974359,0.768873403,0.517053206,1,0.6491
Cornerstone University,Grand Rapids,MI,4,2,0,0.7339,1089,1561,0.0487,0.492156863,0.573894283,0.347674419,1,0.3804
Grand Rapids Community College,Grand Rapids,MI,2,1,0,NULL,NULL,12000,0.1372,0.292352574,0.739953065,0.41426635,2,0.4767
Grand Valley State University,Allendale,MI,4,1,0,0.8275,1158,21589,0.0551,0.519187359,0.485282045,0.273298817,1,0.289
Great Lakes Christian College,Lansing,MI,3,2,0,NULL,NULL,149,0.0537,0.225806452,0.757009346,0.290322581,1,0.8
Henry Ford College,Dearborn,MI,3,1,0,NULL,NULL,10135,0.0186,0.141562686,0.866314088,0.507246377,1,0.7157
Hillsdale College,Hillsdale,MI,4,2,0,0.3599,1387,1446,0,NULL,NULL,NULL,1,0
Hope College,Holland,MI,3,2,0,0.7561,1233,3046,0.0739,0.67816092,0.336300692,0.149131767,1,0.2092
Jackson College,Jackson,MI,2,1,0,NULL,NULL,3967,0.0512,0.248716486,0.843403548,0.457869634,1,0.6454
Kalamazoo College,Kalamazoo,MI,3,2,0,0.728,NULL,1446,0.1418,0.543859649,0.414457831,0.136950904,1,0.2656
Kalamazoo Valley Community College,Kalamazoo,MI,2,1,0,NULL,NULL,6488,0.0669,0.21569943,0.789933231,0.384593191,2,0.5205
Kellogg Community College,Battle Creek,MI,2,1,0,NULL,NULL,3084,0.0606,0.217536071,0.850802644,0.480498375,2,0.4842
Kirtland Community College,Grayling,MI,2,1,0,NULL,NULL,1035,0.0251,0.369668246,0.842669845,0.464619493,2,0.71
Michigan College of Beauty-Monroe,Monroe,MI,1,3,0,NULL,NULL,117,0.0513,0.384615385,0.822222222,0.540322581,3,0.9333
Lake Michigan College,Benton Harbor,MI,3,1,0,NULL,NULL,2593,0.1149,0.220437956,0.879084967,0.444024206,1,0.5627
Lake Superior State University,Sault Ste Marie,MI,3,1,0,0.6338,1075,1873,0.0182,0.504911591,0.587540279,0.330316742,1,0.3944
Lansing Community College,Lansing,MI,2,1,0,NULL,NULL,10655,0.0884,0.23540856,0.754022989,0.381401888,2,0.4574
Lawrence Technological University,Southfield,MI,4,2,0,0.7772,1174,1991,0.0352,0.591065292,0.465007776,0.222772277,1,0.2821
M J Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI,1,3,0,NULL,NULL,26,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,1
Macomb Community College,Warren,MI,2,1,0,NULL,NULL,15793,0.0323,0.450980392,0.832843617,0.486683739,2,0.2702
Madonna University,Livonia,MI,4,2,0,0.7827,1078,2311,0.0454,0.366559486,0.651515152,0.417675545,1,0.3519
Marygrove College,Detroit,MI,4,2,0,NULL,NULL,NULL,NULL,0.153439153,0.771428571,0.413333333,1,0.7647
Rochester University,Rochester Hills,MI,4,2,0,1,1002,907,0.0209,0.376811594,0.631083203,0.405923345,1,0.4233
University of Michigan-Ann Arbor,Ann Arbor,MI,4,1,0,0.2283,1434,30079,0.0633,0.661409043,0.413565709,0.205721846,1,0.1516
Michigan Barber School Inc,Detroit,MI,1,2,0,NULL,NULL,185,0.0324,NULL,PrivacySuppressed,0.433121019,2,0.9667
Michigan State University,East Lansing,MI,4,1,0,0.7768,1224,39208,0.048,0.532835821,0.463676442,0.209521896,1,0.2134
Michigan Technological University,Houghton,MI,4,1,0,0.7388,1272,5736,0.0214,0.69273743,0.401012658,0.18537859,1,0.2409
University of Michigan-Dearborn,Dearborn,MI,4,1,0,0.7797,1195,6965,0.0623,0.393469388,0.739293764,0.381810382,1,0.4298
University of Michigan-Flint,Flint,MI,4,1,0,0.6626,1097,5343,0.0496,0.344192635,0.659310879,0.367940199,1,0.4909
Mid Michigan College,Harrison,MI,2,1,0,NULL,NULL,2700,0.0496,0.289700997,0.771115974,0.44011544,2,0.5736
Monroe County Community College,Monroe,MI,2,1,0,NULL,NULL,2092,0.0387,0.287630402,0.756360833,0.479202773,2,0.3762
Montcalm Community College,Sidney,MI,2,1,0,NULL,NULL,1267,0.0032,0.379562044,0.804289544,0.484581498,2,0.6585
Muskegon Community College,Muskegon,MI,2,1,0,NULL,NULL,3225,0.0685,0.275256223,0.856983862,0.417128774,2,0.4991
North Central Michigan College,Petoskey,MI,2,1,0,NULL,NULL,1270,0.0307,0.367977528,0.864130435,0.420738975,2,0.5709
Northern Michigan University,Marquette,MI,4,1,0,0.6574,1091,6722,0.0378,0.458306811,0.552792916,0.284697509,1,0.4126
Northwestern Michigan College,Traverse City,MI,3,1,0,NULL,NULL,3238,0.0395,0.339123242,0.706604325,0.380713838,1,0.4723
Northwood University,Midland,MI,4,2,0,0.6754,1090,2744,0.0678,0.462699822,0.590311419,0.397157816,1,0.2928
Oakland Community College,Bloomfield Hills,MI,2,1,0,NULL,NULL,11067,0.0467,0.137522586,0.812136574,0.428546562,2,0.3043
Oakland University,Rochester Hills,MI,4,1,0,0.8391,1145,15476,0.0389,0.436440678,0.562169312,0.324252609,1,0.3405
Olivet College,Olivet,MI,4,2,0,0.7131,964,986,0.0568,0.392226148,0.622556391,0.334410339,1,0.5576
Port Huron Cosmetology College,Waterford,MI,1,3,0,NULL,NULL,47,0.0638,PrivacySuppressed,PrivacySuppressed,0.534883721,3,0.5
Kuyper College,Grand Rapids,MI,3,2,0,0.6807,981,158,0.0253,0.546875,0.6,PrivacySuppressed,1,0.4643
Ross Medical Education Center-Lansing,Lansing,MI,1,3,0,NULL,NULL,105,0.0952,0.282051282,0.8026534,0.574037834,3,0.5
Ross Medical Education Center-Madison Heights,Madison Heights,MI,1,3,0,NULL,NULL,173,0.0462,0.271753681,0.813591022,0.585473221,3,0.5667
Ross Medical Education Center-Flint,Flint,MI,1,3,0,NULL,NULL,128,0.0078,0.22490566,0.811197385,0.527117031,3,0.7264
Sacred Heart Major Seminary,Detroit,MI,4,2,0,1,NULL,272,0.1912,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,0
Saginaw Valley State University,University Center,MI,4,1,0,0.7739,1101,7431,0.0463,0.418822235,0.544799499,0.328671329,1,0.3571
Schoolcraft College,Livonia,MI,3,1,0,NULL,NULL,8776,0.0499,0.225027442,0.843006852,0.425621774,1,0.3743
Siena Heights University,Adrian,MI,4,2,0,0.686,NULL,2035,0.0742,0.439273553,0.592080453,0.443363447,1,0.4225
St Clair County Community College,Port Huron,MI,2,1,0,NULL,NULL,2459,0.0374,0.370192308,0.806901615,0.425986842,2,0.486
Southwestern Michigan College,Dowagiac,MI,2,1,0,NULL,NULL,1522,0.0539,0.234948605,0.810810811,0.414104883,2,0.6203
Specs Howard School of Media Arts,Southfield,MI,1,3,0,NULL,NULL,526,0.0228,0.29497908,0.640854473,0.376923077,3,NULL
Spring Arbor University,Spring Arbor,MI,4,2,0,0.7093,1134,1671,0.0407,0.444306931,0.587487781,0.351659751,1,0.3457
Michigan Career and Technical Institute,Plainwell,MI,1,1,0,NULL,NULL,218,0.0596,NULL,PrivacySuppressed,0.336734694,3,0.4588
Finlandia University,Hancock,MI,3,2,0,0.3203,1002,405,0.0395,0.414634146,0.682291667,0.365439094,1,0.5102
Western Michigan University-Thomas M. Cooley Law School,Lansing,MI,4,2,0,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,1,NULL
Twin City Beauty College,Saint Joseph,MI,1,3,0,NULL,NULL,272,0.0882,0.30952381,0.736434109,0.497797357,3,0.5584
Walsh College,Troy,MI,4,2,0,NULL,NULL,782,0.0281,0.590163934,0.635294118,0.481865285,1,NULL
Washtenaw Community College,Ann Arbor,MI,2,1,0,NULL,NULL,10138,0.0662,0.234822934,0.774105836,0.391737892,2,0.3835
Wayne County Community College District,Detroit,MI,2,1,0,NULL,NULL,9905,0.0155,0.116032295,0.951752864,0.536202921,2,0.7716
Wayne State University,Detroit,MI,4,1,0,0.7115,1127,17114,0.0538,0.300263852,0.683995492,0.376020088,1,0.4897
West Shore Community College,Scottville,MI,2,1,0,NULL,NULL,749,0.0948,0.319371728,0.917448405,0.434042553,2,0.6116
Paul Mitchell the School-Grand Rapids,Kentwood,MI,1,3,0,NULL,NULL,96,0.0208,NULL,0.741176471,0.411764706,3,0.3333
Western Michigan University,Kalamazoo,MI,4,1,0,0.811,1107,17519,0.0711,0.434856753,0.554731243,0.293124066,1,0.3434
Western Theological Seminary,Holland,MI,4,2,0,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,NULL
Wright Beauty Academy,Battle Creek,MI,1,3,0,NULL,NULL,51,0.098,NULL,PrivacySuppressed,0.5,3,0.75
Academy College,Bloomington,MN,3,3,0,NULL,NULL,94,0.0426,0.383333333,0.52631579,0.326086957,1,0.6667
Alexandria Technical & Community College,Alexandria,MN,2,1,0,NULL,NULL,1358,0.0538,0.628465804,0.586956522,0.262564991,2,0.4077
American Indian OIC Inc,Minneapolis,MN,1,2,0,NULL,NULL,37,0,NULL,PrivacySuppressed,0.463414634,3,0.7895
Anoka Technical College,Anoka,MN,2,1,0,NULL,NULL,1523,0.0446,0.390998594,0.680577849,0.371482176,2,0.3439
Anoka-Ramsey Community College,Coon Rapids,MN,2,1,0,NULL,NULL,5266,0.0591,0.408797654,0.647148521,0.341625788,2,0.4218
Augsburg University,Minneapolis,MN,4,2,0,0.6896,1110,2311,0.0922,0.472289157,0.645589383,0.289012004,1,0.5103
Riverland Community College,Austin,MN,2,1,0,NULL,NULL,1909,0.1519,0.357784431,0.732467533,0.356707317,2,0.5611
Northwest Technical College,Bemidji,MN,2,1,0,NULL,NULL,648,0.0324,0.404844291,0.695142379,0.274253731,2,0.6027
Bemidji State University,Bemidji,MN,4,1,0,0.6667,1105,4308,0.0288,0.578431373,0.508545227,0.272524532,1,0.3122
Bethany Lutheran College,Mankato,MN,3,2,0,0.7787,1120,599,0.0401,0.67948718,0.501992032,PrivacySuppressed,1,0.3824
Bethel University,Saint Paul,MN,4,2,0,0.7051,1216,2723,0.0459,0.714285714,0.394184168,0.185825411,1,0.2754
Bethel Seminary-St Paul,Saint Paul,MN,4,2,0,NULL,NULL,NULL,NULL,0.714285714,0.394184168,0.185825411,1,NULL
Central Lakes College-Brainerd,Brainerd,MN,2,1,0,NULL,NULL,1819,0.0225,0.421700224,0.726008345,0.3171875,2,0.5253
Carleton College,Northfield,MN,3,2,0,0.1984,1453,2046,0.0797,PrivacySuppressed,0.427518428,0.156812339,1,0.1341
Concordia College at Moorhead,Moorhead,MN,4,2,0,0.613,1192,2009,0.0209,0.775641026,0.319327731,0.126884422,1,0.2641
Concordia University-Saint Paul,Saint Paul,MN,4,2,0,0.9689,NULL,2760,0.0522,0.540697674,0.553165335,0.335669236,1,0.4245
Dakota County Technical College,Rosemount,MN,2,1,0,NULL,NULL,2105,0.0846,0.476772616,0.603152844,0.311565696,2,0.3747
Martin Luther College,New Ulm,MN,4,2,0,0.8926,1189,803,0.0174,0.736842105,0.506802721,PrivacySuppressed,1,0.3443
Lake Superior College,Duluth,MN,2,1,0,NULL,NULL,3279,0.0268,0.375680581,0.648714216,0.284871245,2,0.3973
Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,1,3,0,NULL,NULL,31,0.0323,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,3,0.6
Minnesota State Community and Technical College,Fergus Falls,MN,2,1,0,NULL,NULL,3989,0.0514,0.404327248,0.665315034,0.300653595,2,0.4593
Minnesota West Community and Technical College,Granite Falls,MN,2,1,0,NULL,NULL,1800,0.115,0.424403183,0.750625521,0.365686275,2,0.6258
Gustavus Adolphus College,Saint Peter,MN,3,2,0,0.6616,NULL,2229,0.0543,0.784810127,0.419168591,0.146583851,1,0.2704
Hamline University,Saint Paul,MN,4,2,0,0.6715,1170,2077,0.0963,0.605960265,0.521699819,0.232016211,1,0.4374
Hazelden Betty Ford Graduate School of Addiction Studies,Center City,MN,4,2,0,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,NULL
Hennepin Technical College,Brooklyn Park,MN,2,1,0,NULL,NULL,4008,0.0801,0.374501992,0.716913091,0.376470588,2,0.4367
Hibbing Community College,Hibbing,MN,2,1,0,NULL,NULL,832,0.0361,0.373786408,0.723021583,0.337001376,2,0.521
Aveda Institute-Minneapolis,Minneapolis,MN,1,3,0,NULL,NULL,412,0.0558,0.570247934,0.512355848,0.283882784,3,0.5027
Inver Hills Community College,Inver Grove Heights,MN,2,1,0,NULL,NULL,3063,0.128,0.365942029,0.646446356,0.333692142,2,0.363
Itasca Community College,Grand Rapids,MN,2,1,0,NULL,NULL,788,0.0254,0.367412141,0.734375,0.276946108,2,0.516
Luther Seminary,Saint Paul,MN,4,2,0,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL,NULL,1,NULL
Macalester College,Saint Paul,MN,3,2,0,0.4124,1410,2160,0.0778,PrivacySuppressed,0.336575876,0.128256513,1,0.2284
South Central College,North Mankato,MN,2,1,0,NULL,NULL,2306,0.1088,0.450338601,0.717142857,0.366827254,2,0.5671
Minnesota State University-Mankato,Mankato,MN,4,1,0,0.6092,1105,11675,0.0491,0.616855947,0.457730812,0.242115972,1,0.2971
Mayo Clinic College of Medicine and Science,Rochester,MN,4,2,0,NULL,NULL,218,0.0183,PrivacySuppressed,0.158730159,PrivacySuppressed,1,NULL
Mesabi Range College,Virginia,MN,2,1,0,NULL,NULL,691,0.0333,0.28125,0.785831961,0.306122449,2,0.6557
Metropolitan State University,Saint Paul,MN,4,1,0,0.5379,NULL,6768,0.0663,0.474213837,0.683785602,0.371321408,1,0.7529
University of Minnesota-Twin Cities,Minneapolis,MN,4,1,0,0.5187,1336,31451,0.0436,0.658305921,0.415638257,0.186560199,1,0.1761
University of Minnesota-Crookston,Crookston,MN,3,1,0,0.6592,1104,1834,0.0414,0.55234657,0.515743757,0.290398127,1,0.4
Minneapolis Business College,Roseville,MN,2,3,0,NULL,NULL,135,0.0593,0.760869565,0.742647059,0.29787234,2,0.7356
Minneapolis College of Art and Design,Minneapolis,MN,4,2,0,0.6263,1133,717,0.0767,0.633802817,0.50129199,0.208333333,1,0.391
Minneapolis Community and Technical College,Minneapolis,MN,2,1,0,NULL,NULL,5764,0.1378,0.216470588,0.792850596,0.386980109,2,0.6679
Herzing University-Minneapolis,St. Louis Park,MN,4,2,0,0.94,NULL,435,0.0391,0.230616302,0.820344958,0.520903265,1,0.6176
Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN,1,3,0,NULL,NULL,143,0.1608,0.506578947,0.731343284,0.362264151,3,0.5932
University of Minnesota-Duluth,Duluth,MN,4,1,0,0.7432,1172,9108,0.0309,0.66527633,0.379805228,0.183406114,1,0.2387
University of Minnesota-Morris,Morris,MN,3,1,0,0.6279,1206,1488,0.0491,0.65,0.532233883,0.202551834,1,0.3892
Model College of Hair Design,Saint Cloud,MN,1,3,0,NULL,NULL,80,0.025,0.675324675,0.636942675,0.296296296,3,0.5897
Minnesota State University Moorhead,Moorhead,MN,4,1,0,0.6025,1132,4572,0.0335,0.605769231,0.464684015,0.201385453,1,0.3401
North Hennepin Community College,Brooklyn Park,MN,2,1,0,NULL,NULL,4811,0.0885,0.34928527,0.730360934,0.375908222,2,0.5596
National American University-Roseville,Roseville,MN,3,3,0,NULL,NULL,135,0.037,0.169146088,0.791846451,0.537924528,1,0.5
Normandale Community College,Bloomington,MN,2,1,0,NULL,NULL,7043,0.1282,0.402446483,0.686423156,0.345918934,2,0.4795
North Central University,Minneapolis,MN,4,2,0,0.9004,1107,921,0.0901,0.617647059,0.551934827,0.221030043,1,0.35
Northland Community and Technical College,Thief River Falls,MN,2,1,0,NULL,NULL,2293,0.0567,0.463855422,0.650622877,0.330039526,2,0.5136
University of Northwestern-St Paul,Saint Paul,MN,4,2,0,0.9262,1187,1818,0.0589,0.591603053,0.466597077,0.164277839,1,0.3546
Northwestern Health Sciences University,Bloomington,MN,4,2,0,NULL,NULL,91,0,0.558823529,0.248826291,0.248677249,1,0.4286
Oak Hills Christian College,Bemidji,MN,3,2,0,0.3671,1014,94,0.0106,0.34375,0.75,PrivacySuppressed,1,0.8462
Pine Technical & Community College,Pine City,MN,2,1,0,NULL,NULL,731,0.0506,0.341538462,0.799621928,0.360801782,2,0.5135
Rainy River Community College,International Falls,MN,2,1,0,NULL,NULL,157,0.1783,0.285714286,0.8,0.309677419,2,0.6034
Rochester Community and Technical College,Rochester,MN,2,1,0,NULL,NULL,4045,0.0766,0.423233144,0.679909194,0.333333333,2,0.4789
College of Saint Benedict,Saint Joseph,MN,3,2,0,0.8338,1195,1782,0.0825,0.898305085,0.383631714,0.214084507,1,0.2505
St Cloud Technical and Community College,Saint Cloud,MN,2,1,0,NULL,NULL,3806,0.0586,0.46073718,0.680808081,0.320663162,2,0.5017
Saint Cloud State University,Saint Cloud,MN,4,1,0,0.862,1086,8983,0.0394,0.580061984,0.566210046,0.267662399,1,0.4043
Saint Johns University,Collegeville,MN,4,2,0,0.797,1209,1667,0.081,0.731958763,0.340611354,0.175273865,1,0.2258
Saint Mary's University of Minnesota,Winona,MN,4,2,0,0.9147,1148,1409,0.0795,0.528358209,0.510638298,0.261538462,1,0.3033
St Olaf College,Northfield,MN,3,2,0,0.4991,1320,3022,0.0672,0.784313726,0.330415755,0.128735632,1,0.1959
Crown College,Saint Bonifacius,MN,4,2,0,0.5507,1078,844,0.0735,0.497777778,0.597137014,0.265625,1,0.4729
The College of Saint Scholastica,Duluth,MN,4,2,0,0.6618,1150,2457,0.0387,0.607954546,0.440576231,0.28496732,1,0.2967
University of St Thomas,Saint Paul,MN,4,2,0,0.8039,1269,6344,0.0517,0.676630435,0.314920273,0.137745975,1,0.2276
Empire Beauty School-Bloomington,Bloomington,MN,1,3,0,NULL,NULL,132,0.1364,0.199040767,0.892002335,0.490608565,3,0.75
St Catherine University,Saint Paul,MN,4,2,0,0.7325,1124,3238,0.0991,0.557163531,0.509242695,0.288077188,1,0.4949
Rasmussen College-Minnesota,St. Cloud,MN,3,3,0,NULL,NULL,4016,0.0426,0.277052592,0.73180194,0.475742783,1,0.6012
Saint Paul College,Saint Paul,MN,2,1,0,NULL,NULL,5295,0.0873,0.213737009,0.819538354,0.402185407,2,0.7525
Southwest Minnesota State University,Marshall,MN,4,1,0,0.6034,1047,2022,0.0445,0.573232323,0.560755337,0.268946396,1,0.3708
Summit Academy Opportunities Industrialization Center,Minneapolis,MN,1,2,0,NULL,NULL,384,0.0781,NULL,PrivacySuppressed,0.490322581,3,0.6725
United Theological Seminary of the Twin Cities,St. Paul,MN,4,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
Vermilion Community College,Ely,MN,2,1,0,NULL,NULL,447,0.0425,0.532544379,0.673170732,0.315068493,2,0.5507
Dunwoody College of Technology,Minneapolis,MN,3,2,0,0.6994,NULL,1294,0.0255,0.453674121,0.581372549,0.282194849,1,0.3418
Ridgewater College,Willmar,MN,2,1,0,NULL,NULL,2640,0.0958,0.517582418,0.671296296,0.314385151,2,0.5074
Minnesota State College Southeast,Winona,MN,2,1,0,NULL,NULL,1205,0.0481,0.405688623,0.668938656,0.345211581,2,0.4469
Winona State University,Winona,MN,4,1,0,0.6572,1119,7052,0.0377,0.703108253,0.420603475,0.211745514,1,0.2646
Mitchell Hamline School of Law,Saint Paul,MN,4,2,0,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,1,NULL
Century College,White Bear Lake,MN,2,1,0,NULL,NULL,7455,0.0892,0.377959927,0.712651894,0.344372892,2,0.506
Alcorn State University,Alcorn State,MS,4,1,0,0.8931,1026,3106,0.0074,0.337693222,0.8830536,0.345105328,1,0.8607
Belhaven University,Jackson,MS,4,2,0,0.5161,NULL,2220,0.0532,0.343653251,0.712802768,0.395118734,1,0.5158
Blue Mountain College,Blue Mountain,MS,4,2,0,0.9293,1112,618,0.0194,0.469387755,0.723183391,0.369565217,1,0.4921
Chris Beauty College,Gulfport,MS,1,3,0,NULL,NULL,106,0.0094,NULL,PrivacySuppressed,0.441176471,3,1
Coahoma Community College,Clarksdale,MS,2,1,0,NULL,NULL,1500,0.004,PrivacySuppressed,PrivacySuppressed,0.423076923,2,0.9409
Antonelli College-Jackson,Jackson,MS,2,3,0,NULL,NULL,193,0.0207,0.236669785,0.964128843,0.531499556,2,0.9344
Copiah-Lincoln Community College,Wesson,MS,2,1,0,NULL,NULL,2345,0.0115,0.453362256,0.926028921,0.411352041,2,0.664
Delta Beauty College,Greenville,MS,1,3,0,NULL,NULL,15,0,NULL,PrivacySuppressed,PrivacySuppressed,2,1
Delta State University,Cleveland,MS,4,1,0,0.8519,1084,2269,0.0256,0.470809793,0.781749049,0.322715842,1,0.4906
East Central Community College,Decatur,MS,2,1,0,NULL,NULL,1958,0.025,0.301886793,0.922454484,0.37131783,2,0.6957
East Mississippi Community College,Scooba,MS,2,1,0,NULL,NULL,3232,0.0201,0.35074184,0.905851463,0.375272094,2,0.6805
